SAGA versus EUCL
----------------

id  McNemar Sgn        binom Sgn   Z-test  n00  n01  n10  n11  win
 1    0.031 ---   0.00000000 ---    0.036   21   17   15  247 EUCL
 2   25.043 yes   0.00000000 ---    1.094    1    0   23   76 SAGA
 3    0.000 ---   0.00000000 ---    0.003  101   34   33  785 EUCL
 4    8.308 yes   0.00000000 ---    0.070  155   11   28  407 SAGA
 5   32.468 yes   0.00000000 ---    0.324   37   14   63  881 SAGA
 6  165.531 yes   0.00000000 ---    0.463   91   12  197  839 SAGA
 7      Inf ---   2.00000000 ---    0.000    4    0    0   26 ----
 8   13.445 yes   0.00000000 ---    0.103   73   40   79 1060 SAGA
 9    7.259 yes   0.00000000 ---    0.759   11    7   20   35 SAGA
10    2.083 ---   0.38769531 ---    0.159    7    4    8   42 SAGA
11    0.265 ---   0.00000000 ---    0.010   28   16   18  967 SAGA
12    9.600 yes   0.00738525 yes    0.341    0    2   13  135 SAGA
13    7.692 yes   0.02246094 yes    0.391    8    2   11   67 SAGA
14  126.251 yes   0.00000000 ---    0.587    8   16  167  670 SAGA
15    1.455 ---   0.22656250 ---    0.156    9    8    3   80 EUCL
16    8.167 yes   0.03125000 yes    0.124   14    0    6  286 SAGA
17    4.000 yes   1.00000000 ---    0.083    6    0    1   21 SAGA
18  104.692 yes   0.00000000 ---    0.607    8    8  125  759 SAGA
19    0.000 ---   1.00000000 ---    0.110   14    1    0   15 EUCL
20   22.321 yes   0.00000000 ---    0.735   12    2   26  135 SAGA
21   20.132 yes   0.00000000 ---    0.534   65   16   52  109 SAGA
22   37.786 yes   0.00000000 ---    0.847  147   29   97  365 SAGA
23   35.411 yes   0.00000000 ---    0.789   72   19   76  223 SAGA
24   10.090 yes   0.00000000 ---    0.577  106   21   46  218 SAGA
25   31.174 yes   0.00000000 ---    0.423  135   39  105  481 SAGA
26   10.041 yes   0.00000000 ---    0.387   54   44   78  449 SAGA
27   28.463 yes   0.00000000 ---    0.675   93   22   73  202 SAGA
28   22.369 yes   0.00000000 ---    0.652   64   28   75  223 SAGA
29   10.782 yes   0.00000000 ---    0.305  141   25   53   89 SAGA
30  200.853 yes   0.00000000 ---    0.932  168   42  305 1535 SAGA
31   19.043 yes   0.00000000 ---    1.036   87   35   81  252 SAGA
32  154.223 yes   0.00000000 ---    0.633   84  291   58  947 EUCL
33   16.475 yes   0.00000000 ---    0.377  247   62  115  126 SAGA
34   70.756 yes   0.00000000 ---    0.484  293   59  191 1147 SAGA
35   10.227 yes   0.00000000 ---    0.043  183    4   18 2140 SAGA
36    4.900 yes   0.00000000 ---    0.015 1310   56   34 2440 EUCL
37    4.776 yes   0.00000000 ---    0.040  275  190  234 2301 SAGA
38  373.003 yes   0.00000000 ---    0.636    2    0  371 3627 SAGA
39   59.294 yes   0.00000000 ---    0.141   11  102   17 6034 EUCL
40    1.381 ---   0.00000000 ---    0.034  657  251  277 2397 SAGA
                           SAGA       OTHR      Equal
          Winner all         32          7          1
           signicant         29          3     --na--

SAGA versus FDTW
----------------

id  McNemar Sgn        binom Sgn   Z-test  n00  n01  n10  n11  win
 1   32.237 yes   0.00000000 ---    0.876    1   37    1  261 FDTW
 2    0.000 ---   1.00000000 ---    0.201    0    1    0   99 FDTW
 3    5.975 yes   0.00000000 ---    0.081   87   48   74  744 SAGA
 4    0.000 ---   0.00000000 ---    0.003  144   22   21  414 FDTW
 5    0.000 ---   0.00000000 ---    0.008   26   25   24  920 FDTW
 6    0.471 ---   0.00000000 ---    0.018   54   49   55  981 SAGA
 7    0.500 ---   1.50000000 ---    0.004    3    1    1   25 ----
 8   43.389 yes   0.00000000 ---    0.226   56   57  151  988 SAGA
 9    0.750 ---   0.77441406 ---    0.117   13    5    7   48 SAGA
10    0.308 ---   0.58105469 ---    0.142    3    8    5   45 FDTW
11    1.829 ---   0.00000000 ---    0.032   30   14   21  964 SAGA
12   14.083 yes   0.00048828 yes    0.362    2    0   12  136 SAGA
13    3.273 ---   0.22656250 ---    0.230    7    3    8   70 SAGA
14  172.137 yes   0.00000000 ---    0.665   21    3  179  658 SAGA
15    4.083 yes   0.14599609 ---    0.145   14    3    9   74 SAGA
16    2.250 ---   0.12500000 ---    0.097   10    4    0  292 FDTW
17    0.000 ---   1.00000000 ---    0.094    5    1    0   22 FDTW
18    7.579 yes   0.00442505 yes    0.174    0   16    3  881 FDTW
19      Inf ---   2.00000000 ---    0.000   15    0    0   15 ----
20    9.481 yes   0.00000000 ---    0.494    8    6   21  140 SAGA
21    7.848 yes   0.00000000 ---    0.261   67   14   32  129 SAGA
22   19.680 yes   0.00000000 ---    0.604  139   37   85  377 SAGA
23    1.157 ---   0.00000000 ---    0.153   51   40   30  269 FDTW
24    9.557 yes   0.00000000 ---    0.645   97   30   58  206 SAGA
25    4.796 yes   0.00000000 ---    0.158  111   63   89  497 SAGA
26   10.274 yes   0.00000000 ---    0.366   61   37   69  458 SAGA
27    8.890 yes   0.00000000 ---    0.403   60   55   27  248 FDTW
28    1.370 ---   0.00000000 ---    0.167   50   42   31  267 FDTW
29    9.113 yes   0.00000000 ---    0.278  139   27   53   89 SAGA
30    1.095 ---   0.00000000 ---    0.065  113   97   82 1758 FDTW
31    4.706 yes   0.00000000 ---    0.402   89   33   52  281 SAGA
32   46.843 yes   0.00000000 ---    0.241  304   71  178  827 SAGA
33    8.580 yes   0.00000000 ---    0.214  268   41   71  170 SAGA
34    3.654 ---   0.00000000 ---    0.102  246  106   79 1259 FDTW
35    5.167 yes   0.00000000 ---    0.105   78  109   77 2081 FDTW
36    0.953 ---   0.00000000 ---    0.012 1240  126  110 2364 FDTW
37    2.480 ---   0.00000000 ---    0.023  331  134  160 2375 SAGA
38    0.500 ---   0.50000000 ---    0.045    0    2    0 3998 FDTW
39    1.618 ---   0.00000000 ---    0.017   74   39   50 6001 SAGA
40    7.581 yes   0.00000000 ---    0.087  628  280  348 2326 SAGA
                           SAGA       OTHR      Equal
          Winner all         22         16          2
           signicant         16          4     --na--

SAGA versus CDTW
----------------

id  McNemar Sgn        binom Sgn   Z-test  n00  n01  n10  n11  win
 1   28.658 yes   0.00000000 ---    0.804    2   36    2  260 CDTW
 2      Inf ---   2.00000000 ---    0.000    1    0    0   99 ----
 3    0.000 ---   0.00000000 ---    0.003  101   34   33  785 CDTW
 4    8.308 yes   0.00000000 ---    0.070  155   11   28  407 SAGA
 5    2.824 ---   0.00000000 ---    0.083   31   20   31  913 SAGA
 6   26.483 yes   0.00000000 ---    0.134   83   20   67  969 SAGA
 7    4.000 yes   1.00000000 ---    0.138    4    0    1   25 SAGA
 8   13.445 yes   0.00000000 ---    0.103   73   40   79 1060 SAGA
 9    1.455 ---   0.54882812 ---    0.171   14    4    7   48 SAGA
10    0.364 ---   0.54882812 ---    0.144    4    7    4   46 CDTW
11    0.265 ---   0.00000000 ---    0.010   28   16   18  967 SAGA
12    9.600 yes   0.00738525 yes    0.341    0    2   13  135 SAGA
13    0.167 ---   1.31250000 ---    0.000    7    3    3   75 ----
14  126.251 yes   0.00000000 ---    0.587    8   16  167  670 SAGA
15    1.455 ---   0.22656250 ---    0.156    9    8    3   80 CDTW
16    8.167 yes   0.03125000 yes    0.124   14    0    6  286 SAGA
17    0.000 ---   1.00000000 ---    0.094    5    1    0   22 CDTW
18    5.263 yes   0.01921082 yes    0.140    1   15    4  880 CDTW
19    0.000 ---   1.00000000 ---    0.110   14    1    0   15 CDTW
20   11.115 yes   0.00000000 ---    0.521    9    5   21  140 SAGA
21    3.064 ---   0.00000000 ---    0.161   63   18   29  132 SAGA
22    1.287 ---   0.00000000 ---    0.150  123   53   41  421 CDTW
23    6.349 yes   0.00000000 ---    0.327   49   42   21  278 CDTW
24    8.284 yes   0.00000000 ---    0.599   96   31   57  207 SAGA
25    2.797 ---   0.00000000 ---    0.120  112   62   81  505 SAGA
26    0.051 ---   0.00000000 ---    0.036   57   41   38  489 CDTW
27    7.934 yes   0.00000000 ---    0.327   73   42   19  256 CDTW
28    3.213 ---   0.00000000 ---    0.229   54   38   23  275 CDTW
29    3.409 ---   0.00000000 ---    0.149  140   26   40  102 SAGA
30    5.143 yes   0.00000000 ---    0.137  107  103   72 1768 CDTW
31    2.925 ---   0.00000000 ---    0.329   81   41   26  307 CDTW
32  220.182 yes   0.00000000 ---    0.796   60  315   36  969 CDTW
33    7.934 yes   0.00000000 ---    0.199  270   39   67  174 SAGA
34   11.839 yes   0.00000000 ---    0.167  256   96   53 1285 CDTW
35   10.227 yes   0.00000000 ---    0.043  183    4   18 2140 SAGA
36    4.900 yes   0.00000000 ---    0.015 1310   56   34 2440 CDTW
37    0.364 ---   0.00000000 ---    0.009  304  161  171 2364 SAGA
38    9.091 yes   0.01171875 yes    0.079    1    1   10 3988 SAGA
39   64.509 yes   0.00000000 ---    0.143   14   99   13 6038 CDTW
40   19.921 yes   0.00000000 ---    0.132  612  296  196 2478 CDTW
                           SAGA       OTHR      Equal
          Winner all         19         19          2
           signicant         12         10     --na--
